Refran	Significado	Uso
No todo el monte es orégano	Da a entender que, en cualquier asunto, no todo es fácil ni placentero. Se dice esta frase proverbial cuando queremos expresar que a veces no todo es fácil ni bueno ni ventajoso, sino que también hay cosas difíciles o trabas que impiden que podamos hacer las cosas con facilidad. Se emplea también para indicar que algo no es como lo imaginábamos.	De uso actual
Nuestro gozo en un pozo	Da a entender que se ha frustado o malogrado algo con lo que se contaba y cuya obtención ya causaba alegría. Según Covarrubias, se utiliza cuando algo que había comenzado a darnos contento, no resulta cierto ni verdadero.	De uso actual
Nunca digas 'De esta agua no beberé'	Por mucho que nos repugne algo, no podemos afirmar que no lo haremos o que estemos libres de que nos suceda.	De uso actual
Nunca es tarde si la dicha es buena	Se refiere a un bien que se ha hecho esperar mucho.	De uso actual
Nunca segundas partes fueron buenas	Carece de mérito continuar o presentar de otro modo con afán de mayor mérito lo que otro hizo antes.	De uso actual
Ojo por ojo, diente por diente	Alude a la venganza justiciera, que justifica el castigo según el agravio.	De uso actual
Oveja que bala, bocado que pierde	Por hablar demasiado, se pueden perder ocasiones beneficiosas. Por eso, se recomienda atender a lo importante y no ocuparse de lo inútil. Suele aplicarse a quien es muy hablador.	De uso actual
Pan para hoy, y hambre para mañana	Ante la inestabilidad de los bienes terrenales, conviene ser precavidos y acumular lo necesario no sólo para el momento actual sino también para el futuro inmediato y no tan inmediato.	De uso actual
Para presumir hay que sufrir	Quien quiera ir bien arreglado, tiene que estar dispuesto a padecer algunas molestias. Se dice de modo muy especial para recomendar a las mujeres llevar zapatos de tacón alto. En sentido general, se emplea para advertir que se ha de padecer para conseguir lo que se desea poseer.	De uso actual
Perro ladrador, poco mordedor	Se dice cuando quienes amenazan y se muestran coléricos no son los más peligrosos, pues hacen poco o sólo bravatas.	De uso actual
Piensa el ladrón que todos son de su condición	Denota la facilidad con que pensamos o sospechamos que otros son o actúan como nosotros, en especial cuando se trata de malas acciones o aptitudes.	De uso actual
Poderoso caballero es don Dinero	Denota lo mucho que puede el dinero	De uso actual
Por la boca muere el pez	El anzuelo representa el peligro, lo peligroso que puede ser hablar de forma desconsiderada.	De uso actual
Por San Blas la cigüeña verás	Alude a la llegada del buen tiempo.	De uso actual
Por sus frutos los conoceréis	Se juzga a alguien por su obra, la causa por el resultado.	De uso actual
Por un perro que maté, mataperros me llamaron	En ocasiones, es suficiente con un hecho aislado para crearse una reputación.	De uso actual
Preguntando se va a Roma	Enseña que se debe pedir explicaciones o aclaraciones ante cualquier duda.	De uso actual
Querer es poder	Con voluntad se puede conseguir prácticamente todo.	De uso actual
Quien a buen árbol se arrima, buena sombra le cobija	Resulta muy ventajoso tener un protector poderoso.	De uso actual
Quien a hierro mata, a hierro muere	Por lo general, uno recibe o experimenta el mismo daño que hizo a otro.	De uso actual
Quien calla, otorga	Quien no presenta objeción alguna y se mantiene callado, da a entender que muestra su aprobación a lo que se ha propuesto.	De uso actual
Quien canta sus males espanta	Para alivar los males, conviene buscar alguna diversión.	De uso actual
Quien hace un cesto, hace ciento	Quien sabe realizar bien una actividad o una labor, será capaz de repetirla muchas veces. Se puede aplicar en un sentido peyorativo.	De uso actual
Quien hizo la ley hizo la trampa	Se aplica a quien procura eludir o quebrantar una orden recién promulgada y, en general, se refiere a quien incumple las normas que él mismo estableció.	De uso actual
Quien mal anda mal acaba	Quien lleva una vida desordenada tiene, por lo general, un fin desastroso.	De uso actual
Quien mucho abarca poco aprieta	Alude a quien, al  tratar de emprender varias cosas a un tiempo, no desempeña bien ninguna. También se aplica a la capacidad intelectual que, por estar dispersa en varios asuntos a la vez, no rinde como debiera y no avanza en ninguno.	De uso actual
Quien paga descansa	Exhorta a saldar las deudas lo antes posible.	De uso actual
